FinTech Co - Information Security Risk Register,,,,,,,,,,,,,
Fictional Fintech Organization (50 employees) | Aligned to ISO 27001 & NIST CSF | Last Reviewed: March 2026,,,,,,,,,,,,,
Risk ID,Category,Risk Title,Risk Description,Affected Asset / Process,Threat Source,"Likelihood
(1–5)","Impact
(1–5)","Risk Score
(L×I)",Risk Rating,Current Controls,Treatment,Recommended Action,Owner
R-001,Cyber / Data Breach,Ransomware Attack,Malicious encryption of systems and data demanding ransom payment,"Payment processing systems, customer PII",External threat actor,4,5,20,Critical,"Endpoint AV, email filtering",Mitigate,Deploy EDR solution; enforce offline backups; conduct phishing simulation,CISO
R-002,Cyber / Data Breach,Customer Data Breach via Web App,Exploitation of web application vulnerability exposing cardholder and PII data,"Customer portal, payment API",External attacker,3,5,15,High,"WAF, input validation, TLS",Mitigate,Conduct quarterly DAST/SAST; implement bug bounty programme,AppSec Lead
R-003,Cyber / Data Breach,Insider Data Theft,Malicious or negligent employee exfiltrates sensitive customer or financial data,"CRM, financial records, PII database",Malicious insider,2,5,10,High,"DLP tool, role-based access",Mitigate,Implement UEBA; enforce least privilege; quarterly access reviews,IT Security
R-004,Cyber / Data Breach,Phishing / Credential Compromise,"Employee credentials stolen via phishing, enabling unauthorised system access","Email, SaaS applications, VPN",External attacker,4,4,16,Critical,"MFA on critical systems, security awareness training",Mitigate,Enforce MFA across all systems; deploy anti-phishing email gateway,IT Manager
R-005,Cyber / Data Breach,Unpatched Software Vulnerability,Exploitation of known CVEs in unpatched servers or applications,"Web servers, internal applications",External attacker,3,4,12,High,Monthly patching cycle,Mitigate,Implement vulnerability management programme; target 14-day critical patch SLA,IT Ops
R-006,Third-Party / Vendor Risk,Payment Processor Outage,"Critical payment gateway provider suffers downtime, halting transaction processing","Payment processing, revenue",Third-party vendor,2,5,10,High,"SLA in contract, secondary processor identified",Transfer,Activate secondary payment processor; review SLA penalties with legal,CFO / Ops
R-007,Third-Party / Vendor Risk,Vendor Data Breach (4th Party),A key vendor suffers a breach exposing data shared by FinTech Co,"Shared customer data, API integrations",Third-party vendor,3,5,15,High,Annual vendor security questionnaire,Mitigate,Implement TPRM programme; require SOC 2 Type II reports from critical vendors,Procurement
R-008,Third-Party / Vendor Risk,Cloud Provider Misconfiguration,Misconfigured AWS/GCP settings expose storage buckets or services publicly,"Cloud infrastructure, stored data",Internal error / vendor,3,4,12,High,"IaC templates, basic CSPM alerts",Mitigate,Deploy CSPM tool (e.g. Wiz/Prisma); enforce infrastructure-as-code reviews,Cloud Architect
R-009,Third-Party / Vendor Risk,Vendor Contract Non-Compliance,Critical SaaS vendor fails to meet regulatory or data handling contractual obligations,"Data processing agreements, compliance posture",Third-party vendor,2,3,6,Medium,DPAs in place for key vendors,Mitigate,Annual DPA review; align contracts with GDPR/PCI DSS obligations,Legal / Compliance
R-010,Operational / People Risk,Key Person Dependency,Critical security or IT knowledge concentrated in one or two individuals,"Security operations, system administration",Internal - people,3,4,12,High,Some documentation exists,Mitigate,Document all critical processes; cross-train backup staff; implement succession planning,HR / CISO
